pais,Año,"Patentes concedidas por residentes, total (direct and PCT national phase entries)",Patentes concedidas por tecnologia ambiental,Patentes por energias renovables,Articulos en publicaciones cientificas y tecnicas,Investigadores dedicados a investigacion y desarrollo (por cada millon de personas),Gasto en investigacion y desarrollo (% del PIB),Credito interno al sector privado (% del PIB),Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados),"Inversion extranjera directa, entrada neta de capital (% del PIB)","Cargos por el uso de propiedad intelectual, pagos (balanza de pagos, US$ a precios actuales)",PIB (US$ a precios actuales),Share of Low-carbon electricity - % total electricity,Total Electricity generation - TWh
Alemania,2022,26488,1038,1839,113976.3,5787.44181,3.13236,81.80798462,17.37201177,2.09471349,21276617907,4.1636E+12,50.495697,566.88
Alemania,2023,28138,925,1834,,,,77.87659925,17.48400449,1.71109201,24678660541,4.5257E+12,55.84586,503.69
Alemania,2024,29473,,,,,,,,1.021456337,26544859715,4.65993E+12,58.388103,492.96
Brasil,2007,,5,69,31153.54,562.55469,1.08138,40.69093794,12.62783569,3.190826013,2259433000,1.39711E+12,91.000786,445.15
Brasil,2008,234,4,76,35574.01,598.65285,1.12904,45.782256,12.76152696,2.990609469,2697171000,1.69586E+12,87.33106,463.18
Brasil,2009,341,18,90,38510.99,634.14103,1.11866,47.49428985,14.75878205,1.888482241,2512044100,1.667E+12,91.82701,466.17
Brasil,2010,314,11,86,41760.03,696.09998,1.15992,52.76465763,12.59014687,3.730012884,3346848904,2.20884E+12,87.617294,515.8
Brasil,2011,380,19,104,44155.52,749.17174,1.13966,58.07849111,11.14090814,3.915180114,3865929487,2.61616E+12,90.138405,531.76
Brasil,2012,365,27,51,48166.15,801.40894,1.12684,62.5192932,11.88722129,3.754962856,4377895662,2.46523E+12,85.466064,552.5
Brasil,2013,385,21,101,50197.15,852.71699,1.19567,64.23057383,11.9698618,3.041509016,4761555280,2.47282E+12,79.531555,570.83
Brasil,2014,374,25,84,52367.03,903.20079,1.26971,66.02851039,12.37116887,3.57135267,6147326282,2.45604E+12,75.8835,590.55
Brasil,2015,460,27,99,53504.24,,1.37093,66.82970065,14.48589962,3.592149318,5517267029,1.80221E+12,76.74203,581.22
Brasil,2016,533,36,82,55719.12,,1.28637,62.19400696,16.00016428,4.137378039,5315108648,1.79569E+12,83.20751,578.89
Brasil,2017,714,19,108,59143.03,,1.1175,59.4843093,14.31188922,3.338259817,5402128504,2.06351E+12,81.918144,589.32
Brasil,2018,1066,33,117,63130.11,,1.16769,60.21834794,14.74424183,4.078588215,5124101633,1.91693E+12,84.963165,601.39
Brasil,2019,906,41,88,66506.17,,1.21096,62.79050508,14.06680521,3.692673213,5246219108,1.87329E+12,83.93255,633.33
Brasil,2020,1793,42,97,70490.47,,1.14526,68.69615485,11.35009427,2.592637953,4062060898,1.47611E+12,85.40142,628.76
Brasil,2021,2552,63,94,73727.34,,,68.80522468,9.0015542,2.779790849,5222174071,1.67065E+12,79.61152,656.4
Brasil,2022,2497,54,81,67030.59,,,70.60609738,9.11134628,3.822196153,7299729724,1.95192E+12,89.85322,677.16
Brasil,2023,1717,33,64,,,,71.07554055,9.84914935,2.849754682,6375891535,2.19113E+12,91.04248,708.12
Brasil,2024,1607,,,,,,75.85329929,11.11036442,3.260931981,9775536991,2.17941E+12,89.44913,745.72
Canada,2007,1809,92,508,51979.5,4596.69506,1.90358,123.5336481,14.76969519,8.200559049,8162785542,1.46882E+12,74.501335,634.19
Canada,2008,1886,105,427,53779.61,4725.99112,1.85578,124.0977717,15.18304519,4.515137142,8923454841,1.55299E+12,76.309616,635.11
Canada,2009,2029,113,424,55876.68,4466.14043,1.91742,,17.87270149,1.524131181,8922065283,1.37463E+12,77.18898,613.87
Canada,2010,1906,129,418,56793.27,4664.07888,1.82504,,15.50054129,1.837256387,9731280814,1.61734E+12,75.894104,607.03
Canada,2011,2150,125,460,57715.63,4802.7188,1.78714,,14.71264297,2.137833108,10411408151,1.79333E+12,76.71205,638.27
Canada,2012,2404,142,436,59761.57,4652.42914,1.77304,,15.61869285,2.700169009,10901911781,1.82837E+12,78.167915,636.54
Canada,2013,2756,155,417,60074.83,4647.61399,1.70624,,15.49413291,3.629803984,11801326421,1.8466E+12,79.03125,655.69
Canada,2014,2984,140,402,60858.96,4564.22043,1.71483,,14.66645309,3.55390337,11712157364,1.80575E+12,78.68356,652.97
Canada,2015,2858,148,368,61391.62,4545.96875,1.69359,,14.82867953,3.853894537,10732654496,1.55651E+12,79.13415,661.08
Canada,2016,3295,159,289,61324.12,4400.49278,1.72903,,14.09961169,2.238350121,11567469044,1.52799E+12,79.66213,667.13
Canada,2017,2500,166,292,61601.66,4429.05796,1.68702,,14.34880557,1.53752072,11833542181,1.64927E+12,80.84859,669.35
Canada,2018,2221,166,285,63648.46,4715.91861,1.7372,,15.4222843,2.469312073,12724585776,1.72533E+12,80.67453,661.2
Canada,2019,2035,157,284,64546.67,4850.93689,1.75578,,14.68560635,2.80676687,13588255249,1.74373E+12,80.70764,655.7
Canada,2020,2075,173,357,65331.55,5155.65021,1.93414,,13.95777472,1.758970857,13878959172,1.65568E+12,81.46183,655.89
Canada,2021,2272,190,367,69684.17,5411.82682,1.86431,,13.56472125,2.976182882,16848519080,2.02238E+12,80.83537,652.4
Canada,2022,1978,167,333,69051.87,,1.71166,,14.70319999,2.293173242,17349946740,2.19041E+12,81.17997,664.08
Canada,2023,2893,180,257,,,1.70133,,15.15417378,1.936017766,16991754586,2.17334E+12,79.18427,641.39
Canada,2024,,,,,,,,17.36136636,2.623404409,17067917599,2.24125E+12,77.694374,636.79
Chile,2007,67,1,1,3293.8,334.61639,0.31143,84.07524732,7.821874911,6.113489944,479316760.4,1.72491E+11,43.943035,58.28
Chile,2008,130,3,8,3759.34,355.67666,0.37492,100.1725681,6.559052056,10.45711129,580067917.7,1.79895E+11,45.526405,59.46
Chile,2009,161,3,5,3981.25,287.11073,0.35403,102.6870759,6.605275311,7.422562479,651680780.9,1.71778E+11,48.68312,60.37
Chile,2010,95,1,14,4235.52,318.2091,0.33165,99.47559066,6.239581866,6.841446868,792074056.8,2.17051E+11,40.19917,60.25
Chile,2011,104,3,23,4534.62,352.01898,0.35288,101.8634854,5.120838175,10.48977381,899039284.4,2.51383E+11,39.527798,65.65
Chile,2012,113,1,19,5059.05,389.87508,0.36213,104.2666865,5.436279356,11.909745,1072980132,2.67025E+11,36.280006,69.57
Chile,2013,119,5,29,5099.24,334.78846,0.3903,106.0396906,6.694622315,7.61396399,1418818378,2.77395E+11,35.694675,72.84
Chile,2014,156,3,28,5871.42,426.80476,0.37668,109.0592628,7.091793651,9.835003714,1614627539,2.59561E+11,42.83882,70.17
Chile,2015,150,4,24,6161.44,455.29183,0.38296,110.1213984,6.722530526,7.327803487,1635419969,2.4245E+11,43.198505,74.91
Chile,2016,195,5,25,6774.99,495.36438,0.37103,111.3122092,8.424379559,4.557074882,1730596607,2.49345E+11,42.889763,78.83
Chile,2017,161,8,20,6921.66,494.62971,0.35679,113.5849147,7.106096475,1.896470298,1709057253,2.76154E+11,43.54491,78.93
Chile,2018,172,5,15,7572.42,523.65457,0.36916,118.1942309,6.911410994,2.684613452,2034376888,2.95858E+11,45.865948,81.76
Chile,2019,282,2,13,8012.18,507.31033,0.34243,124.8758096,7.632882021,4.879561641,1878506475,2.78285E+11,46.213383,83.98
Chile,2020,262,1,18,9032.26,515.32026,0.33525,124.1377752,15.97505834,4.506101397,1511563046,2.54042E+11,48.444607,83.58
Chile,2021,253,3,15,9990.88,638.83802,0.36041,109.3218896,12.44177486,4.813089981,1689634052,3.15326E+11,49.431885,87.13
Chile,2022,331,2,16,9057.77,,,112.6219934,6.936726841,6.231850704,1475578872,3.01227E+11,55.327328,91.04
Chile,2023,218,3,19,,,,109.4949726,10.71956334,5.477309384,1376018479,3.35518E+11,64.4006,87.67
Chile,2024,220,,,,,,103.3887139,,3.791291109,1369517011,3.30267E+11,69.89693,89.26
China,2007,31945,791,1896,213648.18,1076.73747,1.37369,104.2104649,30.23749391,4.335375002,8192067402,3.60406E+12,17.151703,3281.54
China,2008,46590,965,2672,248120.21,1197.58885,1.44592,100.407961,29.43193445,3.675207175,10319466356,4.66735E+12,20.981703,3495.76
China,2009,65391,1486,3517,285755.68,861.24883,1.6648,122.3011477,31.97757697,2.525389843,11065271082,5.18958E+12,19.7715,3714.64
China,2010,79767,1522,4498,309193.41,898.85545,1.71372,124.4256085,32.15011697,3.935419967,13039546459,6.19256E+12,20.467964,4207.16
China,2011,112347,2828,5567,323331.81,972.01743,1.78034,121.1670931,30.50047966,3.650691902,14706108691,7.67176E+12,18.66277,4713.02
China,2012,143808,3823,7409,329067.39,1028.98334,1.91214,126.8197345,30.86180852,2.780991382,17748983437,8.67366E+12,22.012455,4987.54
China,2013,143535,4267,7746,355650.59,1079.63795,1.99786,131.9390457,31.58558133,2.985987083,21033078371,9.74312E+12,22.182476,5431.63
China,2014,162680,4438,7829,385100.77,1101.80087,2.02243,137.6237263,29.70372718,2.511558837,22613800782,1.06745E+13,24.548489,5794.45
China,2015,263436,6362,9479,406733.9,1162.7108,2.05701,149.628832,30.43126727,2.149572847,22022366055,1.12808E+13,26.915789,5814.58
China,2016,302136,7793,11613,436613.57,1208.86205,2.10033,153.1927618,30.25452323,1.525394703,23979580208,1.1456E+13,28.304657,6133.16
China,2017,326970,7094,13268,468712.74,1235.84935,2.11603,152.0897475,30.91186398,1.324689717,28746479819,1.25376E+13,28.998068,6604.44
China,2018,345959,7528,19333,532295.26,1317.48914,2.14058,154.9915602,31.54814786,1.663619923,35782953953,1.41478E+13,29.728556,7166.14
China,2019,360919,7656,18187,617494.48,1483.85803,2.24463,162.2075662,30.8186303,1.285492268,34370466478,1.45602E+13,31.496796,7503.43
China,2020,440691,9932,18465,672734.7,1600.30633,2.40666,179.1041002,31.27661542,1.687707563,37870654560,1.49964E+13,32.795822,7779.07
China,2021,584891,14090,21459,766200.41,1685.97511,2.4326,173.5545187,30.21907328,1.890345414,46894697501,1.82017E+13,33.46863,8534.26
China,2022,695591,16555,23405,898949.09,1849.23669,2.55518,181.7851624,27.76506126,1.038413655,44461434631,1.83168E+13,34.902714,8848.71
China,2023,819234,19408,26588,,,,189.606709,26.56821365,0.280991104,42727512988,1.82704E+13,35.20285,9456.45
China,2024,938174,,,,,,194.1659968,,0.098998805,45825549103,1.87438E+13,38.165222,10086.88
Corea del Sur,2007,91645,2063,4091,41317.08,4614.74679,2.87258,129.1361895,32.42825842,0.752754048,5334400000,1.17261E+12,34.648926,425.41
Corea del Sur,2008,61115,1559,3460,43923.63,4892.49313,2.98887,141.9498785,30.45013931,1.068183262,5823400000,1.04734E+12,35.109917,442.61
Corea del Sur,2009,42129,1302,3731,45957.42,5037.92837,3.14669,138.0949141,32.14843654,0.955768594,7355600000,9.43942E+11,33.67886,452.45
Corea del Sur,2010,51404,1547,4740,50338.95,5429.43919,3.31578,130.0385948,32.13439748,0.830430228,9182900000,1.14367E+12,31.167807,495.03
Corea del Sur,2011,72258,1738,5997,53624.1,5908.82443,3.59199,132.5384724,28.21332104,0.779787887,7415000000,1.25329E+12,31.287634,518.16
Corea del Sur,2012,84061,2081,6581,56100.89,6393.34374,3.8504,130.7459185,28.22207576,0.743001114,8616600000,1.27805E+12,29.83754,531.21
Corea del Sur,2013,95667,2443,6152,57320.12,6457.88851,3.95124,128.4920532,29.81819991,0.931438278,9836800000,1.37063E+12,27.74034,537.16
Corea del Sur,2014,97294,2262,5335,60152.58,6867.33385,4.07786,131.5550651,30.06086827,0.624700012,10546000000,1.48449E+12,31.329805,540.38
Corea del Sur,2015,76319,1779,4864,62722.77,7020.43916,3.9782,132.1407127,31.21192709,0.279944816,10055900000,1.46604E+12,32.851406,547.8
Corea del Sur,2016,82400,1938,4239,62915.13,7057.16003,3.98704,134.8257914,30.52502667,0.807125615,9429400000,1.49968E+12,32.108097,560.98
Corea del Sur,2017,90847,2219,4222,64096.89,7453.21918,4.29206,136.4924733,32.54631646,1.103640251,9701600000,1.62307E+12,29.624746,576.41
Corea del Sur,2018,89227,2259,3520,66892.64,7918.46916,4.51633,141.1550144,36.39122336,0.7060848,9812300000,1.72537E+12,27.206491,592.91
Corea del Sur,2019,94852,2475,3837,70701.85,8328.96727,4.62703,151.2580524,32.40506217,0.583393861,9909400000,1.65142E+12,30.490797,586.8
Corea del Sur,2020,103881,2589,4126,73255.78,8620.009,4.79571,164.1361735,35.60222654,0.533043338,9888400000,1.64431E+12,34.75594,577.11
Corea del Sur,2021,110351,2696,4021,77566.47,9071.4503,4.90988,170.8211546,36.01450367,1.213154999,11116300000,1.81843E+12,33.91306,607.76
Corea del Sur,2022,99202,2277,4015,76935.71,9434.7613,5.21081,174.9677692,36.11827893,1.496173783,11689300000,1.67392E+12,37.1898,622.59
Corea del Sur,2023,99315,2266,3839,,,,176.1180805,29.97692954,1.111769001,12390500000,1.71279E+12,38.79577,617.49
Corea del Sur,2024,95165,,,,,,,,,13260200000,,39.890945,625.38
Dinamarca,2007,570,31,269,9044.64,5539.33467,2.51541,184.0374247,18.25736249,3.687996023,885829978.1,3.20213E+11,26.31579,39.14
Dinamarca,2008,613,38,341,9294.1,6519.6824,2.77346,190.3168661,16.85703411,0.617279544,1194906781,3.54979E+11,27.686405,36.48
Dinamarca,2009,566,39,515,9790.04,6674.9003,3.05514,200.3991823,18.93105121,1.171427918,1379377383,3.22619E+11,27.77931,36.25
Dinamarca,2010,627,45,637,10314.12,6763.58309,2.91707,192.8299468,15.46884093,-3.567941353,1325847663,3.22346E+11,32.07742,38.75
Dinamarca,2011,665,42,676,11432.71,7045.77406,2.94465,187.0711283,15.2745652,3.937926374,1412631900,3.44316E+11,40.35887,35.11
Dinamarca,2012,718,48,762,12398.11,7181.8507,2.98125,182.294825,15.8263351,-5.00312032,1392512982,3.26793E+11,48.544327,30.57
Dinamarca,2013,859,62,697,12912.29,7115.41931,2.97048,176.4777871,15.82259116,0.197410829,1735972102,3.44631E+11,46.11384,34.61
Dinamarca,2014,817,61,727,14140.3,7358.18842,2.91409,173.4062642,15.71796053,1.864155678,1695330425,3.52833E+11,56.148563,32.04
Dinamarca,2015,995,62,653,14343.41,7566.45783,3.05497,170.4826084,17.1655002,0.610750678,1530214735,3.01759E+11,65.77484,28.78
Dinamarca,2016,1269,71,625,14395.75,7852.0565,3.09283,167.0593463,14.88332424,2.499831698,1625778239,3.12182E+11,60.49342,30.4
Dinamarca,2017,1320,74,752,14654.73,7647.61749,2.93124,162.0560897,12.45572093,1.087804903,1488297357,3.31611E+11,70.55016,30.9
Dinamarca,2018,1337,63,843,14802.91,7597.52556,2.96603,161.9602238,12.35473019,2.466700576,1584730653,3.55293E+11,68.68587,30.21
Dinamarca,2019,1603,82,1138,15073.24,7693.54905,2.89685,161.8986789,12.03999674,-1.100670983,1528444772,3.45401E+11,78.54954,29.37
Dinamarca,2020,1492,72,1228,15427.2,7651.2843,2.97258,163.5367551,13.23439255,0.363874539,1654744040,3.55631E+11,82.050385,28.58
Dinamarca,2021,1414,70,1279,16242.39,7708.2373,2.76142,154.3672116,13.92474677,4.162143452,1717948451,4.08378E+11,79.28312,32.92
Dinamarca,2022,1061,47,1329,16126.02,8735.60064,2.89051,142.7526408,17.11912968,6.873408126,1846550559,4.01946E+11,80.86438,35.17
Dinamarca,2023,1461,39,1170,,,,146.5980527,17.36571869,2.19886894,2341010756,4.07092E+11,86.44517,34.01
Dinamarca,2024,1467,,,,,,142.4380815,,4.317257858,2542874195,4.29457E+11,89.22683,35.18
Estados Unidos,2007,79527,1403,4957,396306.1,3543.24508,2.61516,206.3513373,29.89913516,2.394690757,24615000000,1.44742E+13,27.86507,4142.57
Estados Unidos,2008,77501,1465,5039,399273.41,3668.58989,2.74481,185.1255933,28.41928061,2.309378381,27764000000,1.47699E+13,28.808554,4107.53
Estados Unidos,2009,82382,1500,5979,404007.54,3790.4393,2.79181,187.4799632,24.36264469,1.112600183,29421000000,1.44781E+13,30.823997,3939.82
Estados Unidos,2010,107792,1872,6963,413704.71,3550.08505,2.71444,181.9206665,22.61947752,1.754531921,31115000000,1.5049E+13,29.93359,4113.94
Estados Unidos,2011,108626,1818,7184,426831.73,3659.09511,2.73803,174.4745591,20.62491616,1.689112351,32912000000,1.55997E+13,31.792156,4088.87
Estados Unidos,2012,121026,2183,7116,430163.93,3642.58414,2.67273,175.4438436,20.1742507,1.540208331,35061000000,1.6254E+13,31.223783,4040.67
Estados Unidos,2013,133593,2345,6179,432033.06,3725.75931,2.69592,184.1629217,20.18863537,1.70686814,35294000000,1.68807E+13,32.28614,4055.61
Estados Unidos,2014,144621,2405,6254,434412.33,3824.01193,2.70881,184.7940213,20.48439822,1.430338631,37562000000,1.76081E+13,32.81242,4096.01
Estados Unidos,2015,140969,2545,5563,436908.38,3858.04036,2.77328,183.6321634,21.39044804,2.795482202,35178000000,1.8295E+13,33.14577,4083.99
Estados Unidos,2016,143723,2781,5353,437546.04,3809.11997,2.83676,186.327051,22.4192942,2.522681174,41974000000,1.88049E+13,34.998875,4087.56
Estados Unidos,2017,150949,2702,4822,440417.99,3931.60035,2.88357,194.0909967,19.26596996,1.941775542,44406000000,1.96121E+13,37.315506,4052.31
Estados Unidos,2018,144413,2622,4712,447164.41,4226.79136,2.99045,183.0540018,18.48426993,1.039454088,43291000000,2.06565E+13,36.659092,4201.55
Estados Unidos,2019,167115,2913,4589,451480.17,4265.92083,3.14704,194.7352589,18.68539393,1.466965014,43280000000,2.154E+13,37.75918,4158.38
Estados Unidos,2020,164562,2698,4170,457586.9,4464.09495,3.42467,217.8555903,19.49397616,0.641871902,45483000000,2.13541E+13,39.851803,4043.18
Estados Unidos,2021,149538,2769,4173,472448.44,4825.1804,3.48313,220.3813172,19.90146141,2.018295464,48199000000,2.36812E+13,39.51324,4153.62
Estados Unidos,2022,141938,2611,4095,457335.25,,3.58623,187.9701004,20.5789833,1.602998097,59417000000,2.60069E+13,40.34813,4286.89
Estados Unidos,2023,148071,2528,4037,,,,192.589446,21.84598784,1.30568089,52601000000,2.77207E+13,40.894375,4253.91
Estados Unidos,2024,142324,,,,,,198.226503,24.32298284,1.01784862,54037000000,2.91849E+13,41.869316,4391.02
Francia,2007,13728,438,550,63765.35,3563.56539,2.02451,88.97430656,20.14283495,3.154494499,7672468333,2.65582E+12,89.71059,561.84
Francia,2008,14040,399,642,66839.35,3636.48425,2.06117,92.63574261,21.46179767,2.323267,10435073227,2.9268E+12,90.264206,566.98
Francia,2009,13259,349,805,68546.59,3722.99987,2.21207,95.09664072,24.12355762,0.682311493,8387238481,2.70008E+12,90.36058,528.87
Francia,2010,13315,408,1028,68992.83,3849.5934,2.17857,95.84714523,26.32338001,1.46961673,10014878126,2.64623E+12,89.83569,562.36
Francia,2011,13616,468,1154,70701.69,3920.65709,2.19161,96.64919195,25.11935859,1.540052933,10545784932,2.87041E+12,89.56399,567.65
Francia,2012,16220,499,1312,72430.66,4052.17043,2.22707,96.5785493,26.69063196,1.227900715,8754182545,2.68301E+12,89.97146,567.58
Francia,2013,15145,480,1303,73455.58,4133.56261,2.23703,95.87696269,27.18171776,1.188234049,11052411043,2.81608E+12,90.69961,576.75
Francia,2014,15298,489,1380,73314.26,4210.03605,2.27592,93.91590815,27.47027367,0.176974175,12764510967,2.86124E+12,93.678375,566.31
Francia,2015,16468,540,1232,72732.87,4310.70957,2.22702,94.94542023,28.21169085,1.76596183,15661389478,2.44248E+12,92.18484,574.14
Francia,2016,17656,503,1121,71971.68,4392.04699,2.22238,97.49046876,27.93318016,1.442003214,14758167584,2.47041E+12,89.864716,558.84
Francia,2017,17530,566,1018,70699.91,4546.76212,2.19888,101.6178302,26.0180219,1.689280722,15848918873,2.58887E+12,88.219315,555.74
Francia,2018,19186,509,732,69234.08,4670.53241,2.19666,104.624052,25.93478493,2.785941846,14350251458,2.78158E+12,91.4185,576.24
Francia,2019,20469,541,775,68294.1,4773.97249,2.19179,106.9130306,26.92659764,1.964869433,13209896692,2.72279E+12,90.520226,565.52
Francia,2020,19736,574,773,67560.3,4883.2219,2.27464,125.3974397,23.22883572,0.731471704,13250637942,2.64793E+12,90.82219,527.25
Francia,2021,20378,574,673,69471.16,5058.05374,2.21808,120.7219099,21.92471324,3.304053122,15699337707,2.96643E+12,91.123184,550.31
Francia,2022,16146,450,710,65888.42,5181.84576,2.23312,119.2257766,22.98318344,4.015856328,15532114861,2.7963E+12,87.11159,468.25
Francia,2023,15405,359,731,,,,112.7303518,23.6797082,0.591500422,14883439672,3.05183E+12,92.05588,516.86
Francia,2024,15486,,,,,,107.526984,,1.646149492,15046961512,3.16208E+12,94.883156,560.11
Japon,2007,145040,3715,10928,109140.33,5344.2381,3.29257,162.6650228,20.06530518,0.472322727,16677754114,4.57975E+12,32.265636,1180.11
Japon,2008,151765,3359,10729,107614.13,5125.12165,3.29224,160.7261173,18.82485422,0.482208589,18311541939,5.10668E+12,29.882572,1183.7
Japon,2009,164459,3489,11754,109026.54,5114.01193,3.1959,167.7682314,20.44597313,0.231146375,16834677241,5.28949E+12,33.386295,1114.02
Japon,2010,187237,3835,12051,108732.89,5117.18164,3.10495,159.6298622,19.12268728,0.12920449,18768647813,5.75907E+12,35.517803,1156.04
Japon,2011,197594,4225,11894,110457.48,5123.33234,3.20537,158.7681468,18.39225376,-0.013648274,19172720512,6.23315E+12,25.034414,1104.2
Japon,2012,224917,4354,12980,109040.04,5048.63399,3.17371,159.3020986,18.23824796,0.008720202,19897558093,6.27236E+12,11.6832905,1106.88
Japon,2013,225571,4133,12848,108551.11,5166.83422,3.27896,162.7028158,17.75875891,0.204293384,17831143180,5.21233E+12,12.424615,1087.76
Japon,2014,177750,3908,10565,105286.6,5351.53211,3.36788,163.2867846,17.78053472,0.403354543,20941598563,4.89699E+12,12.599744,1062.72
Japon,2015,146749,3483,8865,102018.5,5198.48902,3.24071,162.3871838,18.04548893,0.118161988,17033762146,4.44493E+12,15.390439,1030.12
Japon,2016,160643,3820,7934,102449.32,5232.70894,3.10666,163.4469067,17.62042385,0.818481615,20246369822,5.00368E+12,15.9302435,1063.7
Japon,2017,156844,3750,7238,102425.45,5319.83455,3.16636,168.6619307,17.59427747,0.381319638,21381387584,4.93084E+12,17.863976,1076.86
Japon,2018,152440,3244,6379,103957.43,5339.51713,3.2192,168.0351458,17.29705281,0.501685482,21993730962,5.04088E+12,20.726177,1082.93
Japon,2019,140865,3277,5748,104005.62,5376.11987,3.21824,176.7903579,17.03038445,0.780785313,26774027971,5.11799E+12,23.109604,1047.4
Japon,2020,140329,3035,4942,102788.11,5450.44287,3.26458,195.2014469,18.63334879,1.238303864,28550217207,5.05407E+12,23.345499,1011.03
Japon,2021,141853,3037,4720,109074.89,5589.76698,3.27677,195.2720848,18.00399135,0.695100892,29653031448,5.03915E+12,26.033419,1034.67
Japon,2022,155117,3126,4062,103722.96,5629.79566,3.40537,194.9224451,18.25926154,1.129718408,27889615106,4.26246E+12,25.462969,1040.57
Japon,2023,158587,2810,3446,,,,193.6949296,17.10280607,0.478974431,29099065929,4.21317E+12,29.831238,1006.73
Japon,2024,146778,,,,,,195.8162067,17.55474152,0.426561392,29722548538,4.02621E+12,31.28917,1016.39
Mexico,2007,201,2,11,9586.6,351.25363,0.38039,20.43946981,,2.81398718,2558165024,1.10236E+12,17.57578,263.26
Mexico,2008,197,2,21,10353.88,343.53328,0.42416,19.75537532,20.61695833,2.563079959,2393935171,1.16155E+12,21.237326,269.29
Mexico,2009,213,2,28,10632.1,386.49816,0.45748,21.61192256,22.68593427,2.083116486,2511538314,9.43437E+11,16.955482,267.76
Mexico,2010,229,2,37,11244.42,341.23898,0.47353,22.32377503,22.13579317,2.762237203,3015243396,1.10542E+12,18.996986,275.57
Mexico,2011,245,4,43,11751.8,348.02663,0.45268,23.58483284,21.14812069,1.944223363,3399954682,1.22901E+12,19.175081,292.15
Mexico,2012,290,5,39,12602.76,250.69335,0.40284,24.92705638,21.35332369,1.452589151,3647705203,1.25511E+12,17.487095,296.39
Mexico,2013,312,6,48,13186.8,254.46546,0.40806,27.85905933,20.51094476,3.836702681,3801442516,1.32744E+12,17.47442,297.12
Mexico,2014,305,3,57,14167.62,262.92059,0.41962,28.1836821,20.22209978,2.084144293,3834926121,1.36451E+12,20.874956,303.33
Mexico,2015,410,7,48,14570.29,284.58114,0.41477,30.83049787,19.57270211,2.987827803,3947789516,1.21329E+12,19.274391,310.36
Mexico,2016,423,20,54,15194.65,319.5511,0.37601,32.95084239,20.65411164,3.497424211,4299087599,1.11223E+12,18.589043,320.35
Mexico,2017,407,18,54,16177.94,273.56869,0.31955,34.34312567,21.16809678,2.782543668,4647755230,1.19072E+12,18.736517,329.09
Mexico,2018,457,13,53,17182.13,278.43618,0.29816,33.61521782,20.89174564,3.013550101,5073984251,1.2563E+12,19.694237,349.29
Mexico,2019,438,19,52,18991.67,282.18884,0.27606,35.58518649,20.40685841,2.296393909,5257637099,1.30411E+12,19.934992,344.57
